City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Iracoubo,GF,75.72,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
198,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
201,Aneho,TG,79.0,broken clouds,6.2333,1.6,Hotel La Linette
202,Doka,SD,75.09,few clouds,13.5167,35.7667,Um Rakuba Refugee Camp
203,San Policarpo,PH,78.94,light rain,12.1791,125.5072,Agapita M. Nicart
209,Kitui,KE,76.15,overcast clouds,-1.367,38.0106,Heritage Bliss Hotel
214,Mecca,SA,75.04,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
220,Thio,NC,85.96,broken clouds,-21.6167,166.2167,La Ferme de Thio
221,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
222,Vanimo,PG,81.43,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
223,Witu,KE,80.76,broken clouds,-2.3889,40.4382,
227,Punta De Piedra,VE,75.69,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
230,Kavaratti,IN,81.07,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
235,Manacapuru,BR,77.58,overcast clouds,-3.2997,-60.6206,Novo Hotel
236,Port Macquarie,AU,75.16,moderate rain,-31.4333,152.9167,Rydges Port Macquarie
246,Bima,ID,82.08,overcast clouds,-8.4667,118.7167,Lambitu Hotel
248,Carnarvon,AU,89.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
257,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
259,Caramay,PH,82.87,overcast clouds,10.1815,119.236,Peace and Love Beach Club
274,Keti Bandar,PK,78.73,clear sky,24.1447,67.4497,Haji laloo memon house
276,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
280,Kilindoni,TZ,81.93,overcast clouds,-7.9139,39.6668,Bustani B&B
281,Kaeo,NZ,75.33,clear sky,-35.1,173.7833,Bushido Lodge
285,Port Blair,IN,84.24,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
288,Candelaria,PH,80.38,overcast clouds,13.9311,121.4233,Casa de Provincia
297,Byron Bay,AU,84.31,scattered clouds,-28.65,153.6167,Backpackers Inn
299,Lorengau,PG,76.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
300,Mogadishu,SO,80.47,broken clouds,2.0371,45.3438,Hotel Juba
301,Richards Bay,ZA,75.43,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
303,Adrar,MR,76.91,overcast clouds,20.5022,-10.0711,
305,Tabou,CI,77.67,overcast clouds,4.423,-7.3528,hotêl doufoulougou
308,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
312,Luanda,AO,78.12,light rain,-8.8368,13.2343,EPIC SANA Luanda
313,Martapura,ID,80.69,moderate rain,-3.4167,114.85,Montana Hotel Syariah
314,Lobito,AO,76.96,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
321,Lakes Entrance,AU,80.58,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
334,Babina,IN,83.28,clear sky,25.25,78.4667,Tuntun Dhaba
339,Bengkulu,ID,85.05,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
341,Axim,GH,78.91,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
343,Poum,NC,83.1,scattered clouds,-20.2333,164.0167,
344,Phayao,TH,78.42,overcast clouds,19.25,100.25,chuthagarden
345,Tura,IN,75.63,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
350,Vao,NC,80.22,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
357,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
362,Tucuma,BR,75.18,light rain,-0.1833,-50.05,
366,Waingapu,ID,78.82,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
367,Kheralu,IN,84.69,clear sky,23.8833,72.6167,Gopal lodg
376,Sao Joao Da Barra,BR,75.78,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
