City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Doka,SD,13.5167,35.7667,75.09,35,24,8.39,few clouds
203,San Policarpo,PH,12.1791,125.5072,78.94,84,100,19.77,light rain
204,Kamskiye Polyany,RU,55.4307,51.4171,23.81,91,100,13.27,overcast clouds
205,Naryan-Mar,RU,67.6713,53.087,8.53,96,99,5.17,overcast clouds
206,Norman Wells,CA,65.282,-126.8329,-9.36,59,20,14.97,few clouds
207,Terney,RU,45.0503,136.6092,18.99,65,100,12.66,overcast clouds
208,Pathein,MM,16.7833,94.7333,91.8,29,100,6.55,overcast clouds
209,Kitui,KE,-1.367,38.0106,76.15,48,86,5.1,overcast clouds
210,Manzil Salim,TN,35.8567,8.4765,46.4,75,39,23.89,scattered clouds
211,San Cristobal,VE,7.7669,-72.225,66.38,84,98,2.19,overcast clouds
212,Salym,RU,60.0625,71.4789,26.4,88,100,9.48,overcast clouds
213,Shenzhen,CN,22.5455,114.0683,53.22,97,100,9.1,overcast clouds
214,Mecca,SA,21.4267,39.8261,75.04,33,23,2.08,few clouds
215,Gisborne,NZ,-38.6533,178.0042,70.57,75,0,10.36,clear sky
216,Solnechnyy,RU,50.7214,136.6319,11.98,88,66,3.49,broken clouds
217,Anadyr,RU,64.75,177.4833,-5.3,83,40,6.71,light snow
218,Taltal,CL,-25.4,-70.4833,66.6,84,0,3.15,clear sky
219,Bataipora,BR,-22.2953,-53.2711,71.64,91,6,3.27,clear sky
220,Thio,NC,-21.6167,166.2167,85.96,75,70,8.3,broken clouds
221,Bathsheba,BB,13.2167,-59.5167,77.61,78,40,13.8,scattered clouds
222,Vanimo,PG,-2.6741,141.3028,81.43,82,100,3.18,overcast clouds
223,Witu,KE,-2.3889,40.4382,80.76,62,78,5.57,broken clouds
224,Udachnyy,RU,66.4167,112.4,16.45,85,31,6.22,scattered clouds
225,Ancud,CL,-41.8697,-73.8203,50.43,80,0,7.96,clear sky
226,Ossora,RU,59.2353,163.0719,-7.19,86,100,6.24,overcast clouds
227,Punta De Piedra,VE,7.6176,-71.4916,75.69,49,91,3.09,overcast clouds
228,Bethel,US,41.3712,-73.414,37.9,74,0,0.0,clear sky
229,Bethanien,NA,-26.502,17.1583,74.71,31,6,0.67,clear sky
230,Kavaratti,IN,10.5669,72.642,81.07,61,1,8.97,clear sky
231,Puerto Del Rosario,ES,28.5004,-13.8627,64.08,72,44,0.0,scattered clouds
232,Dikson,RU,73.5069,80.5464,13.06,94,100,11.95,light snow
233,Mar Del Plata,AR,-38.0023,-57.5575,69.1,92,75,11.99,light rain
234,Fort Nelson,CA,58.8053,-122.7002,-17.01,76,0,3.44,clear sky
235,Manacapuru,BR,-3.2997,-60.6206,77.58,95,98,3.91,overcast clouds
236,Port Macquarie,AU,-31.4333,152.9167,75.16,88,75,9.22,moderate rain
237,Lompoc,US,34.6391,-120.4579,52.57,72,100,25.01,overcast clouds
238,Knysna,ZA,-34.0363,23.0471,61.18,68,13,0.85,few clouds
239,Rocha,UY,-34.4833,-54.3333,66.2,84,91,9.66,overcast clouds
240,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,71,90,7.7,overcast clouds
241,Beaverlodge,CA,55.2166,-119.4361,-13.65,97,51,4.41,broken clouds
242,Yulara,AU,-25.2406,130.9889,93.04,18,0,11.5,clear sky
243,Mitu,CO,1.1983,-70.1733,73.78,84,100,1.77,overcast clouds
244,Barentu,ER,15.1139,37.5928,70.27,42,66,1.48,broken clouds
245,Saskylakh,RU,71.9167,114.0833,12.78,90,100,7.72,overcast clouds
246,Bima,ID,-8.4667,118.7167,82.08,76,96,1.77,overcast clouds
247,Dunedin,NZ,-45.8742,170.5036,57.79,86,100,15.01,overcast clouds
248,Carnarvon,AU,-24.8667,113.6333,89.67,58,9,20.71,clear sky
249,Muskegon,US,43.3,-86.1334,35.62,90,100,14.97,mist
250,Matagami,CA,49.7502,-77.6328,-11.09,64,100,3.44,overcast clouds
251,Clinton,US,42.587,-82.9199,39.29,85,100,4.61,overcast clouds
252,Chokurdakh,RU,70.6333,147.9167,-37.07,99,71,6.69,broken clouds
253,Khash,IR,28.2211,61.2158,56.52,28,0,3.87,clear sky
254,Egvekinot,RU,66.3167,-179.1667,-0.67,96,100,7.4,light snow
255,El Rosario,MX,24.2556,-107.1828,68.2,69,2,5.57,clear sky
256,Guerrero Negro,MX,27.9769,-114.0611,58.66,64,8,12.64,clear sky
257,Bairiki,KI,1.3292,172.9752,84.2,74,20,10.36,light rain
258,Quincy,US,42.2529,-71.0023,39.94,85,20,5.75,few clouds
259,Caramay,PH,10.1815,119.236,82.87,71,97,11.52,overcast clouds
260,Caravelas,BR,-17.7125,-39.2481,72.9,94,18,2.95,few clouds
261,Luderitz,NA,-26.6481,15.1594,70.54,58,11,12.77,few clouds
262,Asgabat,TM,37.95,58.3833,49.86,71,100,4.61,overcast clouds
263,Chara,RU,56.9064,118.2631,12.24,79,74,1.41,broken clouds
264,Smithers,CA,54.7804,-127.1743,3.52,72,0,0.0,clear sky
265,Hasaki,JP,35.7333,140.8333,48.42,41,44,5.19,scattered clouds
266,Iskateley,RU,67.6803,53.1512,8.35,96,97,5.23,overcast clouds
267,Ibimirim,BR,-8.5406,-37.6903,71.06,85,0,2.93,clear sky
268,Yamada,JP,39.4667,141.95,31.17,47,6,17.31,clear sky
269,Novyy Urengoy,RU,66.0833,76.6333,19.13,94,100,10.96,overcast clouds
270,Nyurba,RU,63.2842,118.3319,16.18,88,100,6.89,overcast clouds
271,Abha,SA,18.2164,42.5053,53.85,26,0,0.0,clear sky
272,Pevek,RU,69.7008,170.3133,-30.71,98,100,4.09,overcast clouds
273,Wenling,CN,28.3669,121.36,42.91,84,100,15.23,overcast clouds
274,Keti Bandar,PK,24.1447,67.4497,78.73,60,1,20.89,clear sky
275,Nome,US,64.5011,-165.4064,32.11,93,100,14.97,overcast clouds
276,Avarua,CK,-21.2078,-159.775,80.65,83,11,11.5,few clouds
277,Van,TR,38.4924,43.3831,33.15,93,75,1.14,broken clouds
278,Ormond Beach,US,29.2858,-81.0559,65.08,89,0,1.01,clear sky
279,Tooele,US,40.5308,-112.2983,28.96,80,75,3.44,broken clouds
280,Kilindoni,TZ,-7.9139,39.6668,81.93,84,100,12.03,overcast clouds
281,Kaeo,NZ,-35.1,173.7833,75.33,71,0,8.57,clear sky
282,Houlton,US,46.1262,-67.8403,18.01,62,100,6.91,overcast clouds
283,Rehoboth,NA,-23.3167,17.0833,74.91,42,9,8.63,clear sky
284,Narsaq,GL,60.9167,-46.05,-1.98,71,95,4.9,overcast clouds
285,Port Blair,IN,11.6667,92.75,84.24,65,20,12.66,few clouds
286,Lusambo,CD,-4.9667,23.45,71.67,96,100,1.25,overcast clouds
287,Lima,PE,-12.0432,-77.0282,72.39,50,75,4.61,broken clouds
288,Candelaria,PH,13.9311,121.4233,80.38,72,100,9.91,overcast clouds
289,Portland,US,45.5234,-122.6762,38.52,93,100,4.0,overcast clouds
290,Bucyrus,US,40.8084,-82.9755,54.32,53,100,15.3,overcast clouds
291,Den Helder,NL,52.9599,4.7593,44.58,83,69,13.0,broken clouds
292,Santa Fe,AR,-31.6333,-60.7,70.92,76,24,8.88,light rain
293,Husavik,IS,66.0449,-17.3389,35.51,80,88,36.71,overcast clouds
294,Isoka,ZM,-10.1606,32.6335,64.71,92,100,1.68,overcast clouds
295,Walvis Bay,NA,-22.9575,14.5053,71.1,83,75,8.05,broken clouds
296,Juneau,US,58.3019,-134.4197,24.85,39,40,8.05,scattered clouds
297,Byron Bay,AU,-28.65,153.6167,84.31,80,25,8.9,scattered clouds
298,Hami,CN,42.8,93.45,37.33,26,0,4.81,clear sky
299,Lorengau,PG,-2.0226,147.2712,76.91,89,100,8.88,overcast clouds
300,Mogadishu,SO,2.0371,45.3438,80.47,78,75,13.8,broken clouds
301,Richards Bay,ZA,-28.783,32.0377,75.43,86,87,8.01,light rain
302,Xichang,CN,27.8964,102.2634,39.27,79,100,2.82,overcast clouds
303,Adrar,MR,20.5022,-10.0711,76.91,19,100,7.11,overcast clouds
304,Cururupu,BR,-1.8283,-44.8683,74.08,97,84,3.15,broken clouds
305,Tabou,CI,4.423,-7.3528,77.67,91,100,7.27,overcast clouds
306,Ahipara,NZ,-35.1667,173.1667,72.45,73,22,2.64,few clouds
307,Pisco,PE,-13.7,-76.2167,73.45,83,100,2.3,mist
308,Touros,BR,-5.1989,-35.4608,81.5,76,100,9.13,overcast clouds
309,Muhos,FI,64.808,25.9931,1.18,97,100,3.69,overcast clouds
310,Diamantino,BR,-14.4086,-56.4461,69.19,97,90,4.16,overcast clouds
311,Perevoz,RU,55.5961,44.5446,33.44,98,100,17.56,light snow
312,Luanda,AO,-8.8368,13.2343,78.12,84,100,3.87,light rain
313,Martapura,ID,-3.4167,114.85,80.69,78,40,6.91,moderate rain
314,Lobito,AO,-12.3481,13.5456,76.96,82,100,1.16,overcast clouds
315,Topolobampo,MX,25.6,-109.05,58.05,64,56,6.22,broken clouds
316,Boditi,ET,6.9667,37.8667,66.85,47,82,10.27,broken clouds
317,Ostersund,SE,63.1792,14.6357,-4.88,100,82,2.46,broken clouds
318,Esperance,AU,-33.8667,121.9,93.04,44,1,11.99,clear sky
319,Ayagoz,KZ,47.9714,80.4392,23.14,75,22,6.53,few clouds
320,Zgierz,PL,51.8556,19.4062,37.83,87,75,17.27,broken clouds
321,Lakes Entrance,AU,-37.8811,147.981,80.58,72,0,13.29,clear sky
322,Paita,PE,-5.0892,-81.1144,71.51,77,55,6.51,broken clouds
323,Saint George,US,37.1041,-113.5841,49.62,30,0,6.91,clear sky
324,Tukan,RU,53.8409,57.4552,24.17,90,99,5.39,overcast clouds
325,San Rafael,AR,-34.6177,-68.3301,53.78,95,100,16.42,overcast clouds
326,Linxia,CN,35.6003,103.2064,27.25,62,63,3.27,broken clouds
327,San Vicente,AR,-26.6167,-54.1333,64.15,97,9,2.06,clear sky
328,Pokosnoye,RU,55.5258,101.0536,25.0,78,44,9.26,scattered clouds
329,Rundu,NA,-17.9333,19.7667,71.78,74,47,3.09,scattered clouds
330,Carauari,BR,-4.8828,-66.8958,73.26,99,100,1.77,heavy intensity rain
331,Qaqortoq,GL,60.7167,-46.0333,-1.7,80,98,3.87,overcast clouds
332,Vila Do Maio,CV,15.1333,-23.2167,70.59,78,96,16.64,overcast clouds
333,Kardymovo,RU,54.8902,32.4311,30.63,89,75,11.88,broken clouds
334,Babina,IN,25.25,78.4667,83.28,17,0,7.2,clear sky
335,Katsuura,JP,35.1333,140.3,48.24,46,46,18.86,scattered clouds
336,Pacific Grove,US,36.6177,-121.9166,50.09,79,34,7.0,scattered clouds
337,La Sarre,CA,48.8002,-79.1996,-4.9,94,100,9.22,light snow
338,Namtsy,RU,62.7161,129.6658,-12.89,91,100,4.41,overcast clouds
339,Bengkulu,ID,-3.8004,102.2655,85.05,65,100,8.68,overcast clouds
340,Constitucion,CL,-35.3333,-72.4167,55.62,93,70,7.81,broken clouds
341,Axim,GH,4.8699,-2.2405,78.91,90,34,6.58,light rain
342,Tole,UA,44.7167,33.8167,51.51,71,25,6.6,scattered clouds
343,Poum,NC,-20.2333,164.0167,83.1,76,30,18.77,scattered clouds
344,Phayao,TH,19.25,100.25,78.42,47,94,5.21,overcast clouds
345,Tura,IN,25.5198,90.2201,75.63,30,1,3.69,clear sky
346,Sivaki,RU,52.6333,126.75,13.98,67,36,10.92,scattered clouds
347,Vilhena,BR,-12.7406,-60.1458,68.7,97,100,1.88,overcast clouds
348,Buin,CL,-33.7333,-70.75,64.74,84,21,0.38,few clouds
